CK   PC_reg     PC_plus_4   branch_adrs  jr_adrs         jump_adrs  PC_plus_4_pID IR_reg    PC_source     PC_mux_out     
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4       rdbk5       rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11         rdbk12       rdbk13      rdbk14       rdbk15      
0  x"00400000" x"00400004" x"00000000" x"00400004"     x"00000000" x"00000000" x"00000000" x"00000000"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
1  x"00400004" x"00400008" x"00400004" x"00400004"     x"0B700000" x"00400004" x"FEDC0000" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
2  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
3  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
4  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
5  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
6  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
7  x"00400020" x"00400024" x"004199B4" x"00400004"     x"00019998" x"0040001C" x"00006666" x"00000000"     x"00400024" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
8  x"00400024" x"00400028" x"003E2244" x"00400004"     x"02222220" x"00400024" x"88888888" x"00000000"     x"00400028" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
9  x"00400028" x"0040002C" x"003E668C" x"00400004"     x"00026664" x"00400028" x"00009999" x"00000000"     x"0040002C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
10  x"0040002C" x"00400030" x"003EAAD4" x"00400004"     x"0002AAA8" x"0040002C" x"0000AAAA" x"00000000"     x"00400030" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
11  x"00400030" x"00400034" x"003EEF1C" x"00400004"     x"0002EEEC" x"00400030" x"0000BBBB" x"00000000"     x"00400034" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
12  x"00400034" x"00400038" x"003F3364" x"00400004"     x"00033330" x"00400034" x"0000CCCC" x"00000000"     x"00400038" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
13  x"00400038" x"0040003C" x"0040007C" x"00400004"     x"00400044" x"00400038" x"08100011" x"00000003"     x"00400044" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
14  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
15  x"00400048" x"0040004C" x"0040448C" x"00400004"     x"00004444" x"00400048" x"20001111" x"00000000"     x"0040004C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
16  x"0040004C" x"00400050" x"004088D4" x"00400004"     x"00008888" x"0040004C" x"20002222" x"00000000"     x"00400050" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
17  x"00400050" x"00400054" x"0040CD1C" x"00400004"     x"0000CCCC" x"00400050" x"20003333" x"00000000"     x"00400054" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
18  x"00400054" x"00400058" x"00400074" x"00400004"     x"00000020" x"00400054" x"00000008" x"00000002"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
19  x"00400004" x"00400008" x"004155AC" x"00400004"     x"00015554" x"00400058" x"20005555" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
20  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
21  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
22  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
23  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
24  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
25  x"00400020" x"00400024" x"004199B4" x"00400004"     x"00019998" x"0040001C" x"00006666" x"00000000"     x"00400024" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
26  x"00400024" x"00400028" x"003E2244" x"00400004"     x"02222220" x"00400024" x"88888888" x"00000000"     x"00400028" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
27  x"00400028" x"0040002C" x"003E668C" x"00400004"     x"00026664" x"00400028" x"00009999" x"00000000"     x"0040002C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
28  x"0040002C" x"00400030" x"003EAAD4" x"00400004"     x"0002AAA8" x"0040002C" x"0000AAAA" x"00000000"     x"00400030" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
29  x"00400030" x"00400034" x"003EEF1C" x"00400004"     x"0002EEEC" x"00400030" x"0000BBBB" x"00000000"     x"00400034" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
30  x"00400034" x"00400038" x"003F3364" x"00400004"     x"00033330" x"00400034" x"0000CCCC" x"00000000"     x"00400038" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
31  x"00400038" x"0040003C" x"0040007C" x"00400004"     x"00400044" x"00400038" x"08100011" x"00000003"     x"00400044" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
32  x"00400044" x"00400048" x"003FBBF4" x"00400004"     x"0003BBB8" x"0040003C" x"0000EEEE" x"00000000"     x"00400048" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
33  x"00400048" x"0040004C" x"0040448C" x"00400004"     x"00004444" x"00400048" x"20001111" x"00000000"     x"0040004C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
34  x"0040004C" x"00400050" x"004088D4" x"00400004"     x"00008888" x"0040004C" x"20002222" x"00000000"     x"00400050" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
35  x"00400050" x"00400054" x"0040CD1C" x"00400004"     x"0000CCCC" x"00400050" x"20003333" x"00000000"     x"00400054" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
36  x"00400054" x"00400058" x"00400074" x"00400004"     x"00000020" x"00400054" x"00000008" x"00000002"     x"00400004" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
37  x"00400004" x"00400008" x"004155AC" x"00400004"     x"00015554" x"00400058" x"20005555" x"00000000"     x"00400008" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
38  x"00400008" x"0040000C" x"0040444C" x"00400004"     x"00004444" x"00400008" x"00001111" x"00000000"     x"0040000C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
39  x"0040000C" x"00400010" x"00408894" x"00400004"     x"00008888" x"0040000C" x"00002222" x"00000000"     x"00400010" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
40  x"00400010" x"00400014" x"0040CCDC" x"00400004"     x"0000CCCC" x"00400010" x"00003333" x"00000000"     x"00400014" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
41  x"00400014" x"00400018" x"00411124" x"00400004"     x"00011110" x"00400014" x"00004444" x"00000000"     x"00400018" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
42  x"00400018" x"0040001C" x"00400020" x"00400004"     x"00000008" x"00400018" x"14000002" x"00000001"     x"00400020" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
43  x"00400020" x"00400024" x"004199B4" x"00400004"     x"00019998" x"0040001C" x"00006666" x"00000000"     x"00400024" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
44  x"00400024" x"00400028" x"003E2244" x"00400004"     x"02222220" x"00400024" x"88888888" x"00000000"     x"00400028" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
45  x"00400028" x"0040002C" x"003E668C" x"00400004"     x"00026664" x"00400028" x"00009999" x"00000000"     x"0040002C" x"00000000" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"
