   IMem           IMem
   adrs     =>    data
x"00400000" => x"FEDC0000"
x"00400004" => x"00001111"
x"00400008" => x"00002222"
x"0040000C" => x"00003333"
x"00400010" => x"00004444"
x"00400014" => x"14000002" -- bne 2 instructions forward, i.e.,  to 0x40020
x"00400018" => x"00006666"
x"0040001C" => x"00007777"
x"00400020" => x"88888888"
x"00400024" => x"00009999"
x"00400028" => x"0000AAAA"
x"0040002C" => x"0000BBBB"
x"00400030" => x"0000CCCC"
x"00400034" => x"08100011" -- j to 0x400044 ( inst 0x 100011)
x"00400038" => x"0000EEEE"
x"0040003C" => x"0000FFFF"
x"00400040" => x"20000000"
x"00400044" => x"20001111"
x"00400048" => x"20002222"
x"0040004C" => x"20003333"
x"00400050" => x"00000008" -- jr instruction
x"00400054" => x"20005555"
x"00400058" => x"20006666"
x"0040005C" => x"20007777"
x"00400060" => x"20008888"
x"00400064" => x"20009999"
x"00400068" => x"2000AAAA"
x"0040006C" => x"2000BBBB"
x"00400070" => x"2000CCCC"
x"00400074" => x"2000DDDD"
x"00400078" => x"2000EEEE"
x"0040007C" => x"29ABCDEF"
