CK  GPR_hold  reg_wr  wr_reg     wr_data     rd_reg1  rd_reg1_data   rd_reg2   rd_reg2_data
1      0        1      0      x"00000000"     0      x"00000000"      0      x"00000000"
2      0        1      1      x"00001111"     0      x"00000000"      0      x"00000000"
3      0        1      2      x"00002222"     0      x"00000000"      0      x"00000000"
4      0        1      3      x"00003333"     0      x"00000000"      0      x"00000000"
5      0        1      4      x"00004444"     0      x"00000000"      0      x"00000000"
6      0        1      5      x"00005555"     0      x"00000000"      0      x"00000000"
7      0        1      6      x"00006666"     0      x"00000000"      0      x"00000000"
8      0        1      7      x"00007777"     0      x"00000000"      0      x"00000000"
9      0        1      8      x"00008888"     0      x"00000000"      0      x"00000000"
10      0        1      9      x"00009999"     0      x"00000000"      0      x"00000000"
11      0        1      10      x"0000AAAA"     0      x"00000000"      0      x"00000000"
12      0        1      11      x"0000BBBB"     0      x"00000000"      0      x"00000000"
13      0        1      12      x"0000CCCC"     0      x"00000000"      0      x"00000000"
14      0        1      13      x"0000DDDD"     0      x"00000000"      0      x"00000000"
15      0        1      14      x"0000EEEE"     0      x"00000000"      0      x"00000000"
16      0        1      15      x"0000FFFF"     0      x"00000000"      0      x"00000000"
17      0        1      16      x"12345678"     0      x"00000000"      0      x"00000000"
18      0        1      17      x"11110000"     0      x"00000000"      0      x"00000000"
19      0        1      18      x"22220000"     0      x"00000000"      0      x"00000000"
20      0        1      19      x"33330000"     0      x"00000000"      0      x"00000000"
21      0        1      20      x"44440000"     0      x"00000000"      0      x"00000000"
22      0        1      21      x"55550000"     0      x"00000000"      0      x"00000000"
23      0        1      22      x"66660000"     0      x"00000000"      0      x"00000000"
24      0        1      23      x"77770000"     0      x"00000000"      0      x"00000000"
25      0        1      24      x"88880000"     0      x"00000000"      0      x"00000000"
26      0        1      25      x"99990000"     0      x"00000000"      0      x"00000000"
27      0        1      26      x"AAAA0000"     0      x"00000000"      0      x"00000000"
28      0        1      27      x"BBBB0000"     0      x"00000000"      0      x"00000000"
29      0        1      28      x"CCCC0000"     0      x"00000000"      0      x"00000000"
30      0        1      29      x"DDDD0000"     0      x"00000000"      0      x"00000000"
31      0        1      30      x"EEEE0000"     0      x"00000000"      0      x"00000000"
32      0        1      31      x"FFFF0000"     0      x"00000000"      0      x"00000000"
33      0        0      0      x"87654321"     16      x"12345678"      16      x"12345678"
34      0        0      0      x"87654321"     1      x"00001111"      17      x"11110000"
35      0        0      0      x"87654321"     2      x"00002222"      18      x"22220000"
36      0        0      0      x"87654321"     3      x"00003333"      19      x"33330000"
37      0        0      0      x"87654321"     4      x"00004444"      20      x"44440000"
38      0        0      0      x"87654321"     5      x"00005555"      21      x"55550000"
39      1        0      7      x"87654321"     6      x"00006666"      22      x"66660000"
40      1        1      7      x"87654321"     7      x"00007777"      23      x"77770000"
41      1        0      7      x"87654321"     7      x"00007777"      23      x"77770000"
42      1        0      0      x"87654321"     8      x"00008888"      24      x"88880000"
43      0        0      0      x"87654321"     9      x"00009999"      25      x"99990000"
44      0        0      0      x"87654321"     10      x"0000AAAA"      26      x"AAAA0000"
45      0        0      0      x"87654321"     11      x"0000BBBB"      27      x"BBBB0000"
46      0        0      0      x"87654321"     12      x"0000CCCC"      28      x"CCCC0000"
47      0        0      0      x"87654321"     13      x"0000DDDD"      29      x"DDDD0000"
48      0        0      0      x"87654321"     14      x"0000EEEE"      30      x"EEEE0000"
49      0        0      0      x"87654321"     15      x"0000FFFF"      31      x"FFFF0000"
50      0        1      1      x"ABCD0001"     1      x"00001111"      2      x"00002222"
51      0        1      2      x"ABCD0002"     2      x"00002222"      1      x"ABCD0001"
52      0        1      3      x"ABCD0003"     3      x"00003333"      4      x"00004444"
53      0        1      4      x"ABCD0004"     4      x"00004444"      4      x"00004444"
54      0        1      5      x"ABCD0005"     3      x"ABCD0003"      4      x"ABCD0004"
55      0        0      17      x"87654321"     2      x"ABCD0002"      17      x"11110000"
